Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Hampton,106,30,2057,68.6,2108,70.3,-1.7,43.3,451,670,67.3,1644,43.5,0,0,0,342,11.4,531,17.7,1082,36.1,1054,35.1,0.9,0,193,6.4,679,22.6
Hartford,107,29,1815,62.6,1964,67.7,-5.1,41.4,329,498,66.1,1585,41.6,0,0,0,320,11.034,461,15.897,1008,34.8,980,33.8,1,0,219,7.6,589,20.3
Harvard,108,27,1748,64.7,2067,76.6,-11.8,14.8,386,545,70.8,1525,39.4,0,0,0,296,10.963,515,19.074,936,34.7,994,36.8,-2.1,0,212,7.9,571,21.1
Hawaii,109,30,2096,69.9,1968,65.6,4.3,63.3,369,510,72.4,1711,45.5,0,0,0,483,16.1,403,13.433,1033,34.4,1038,34.6,-0.2,0,192,6.4,503,16.8
High Point,110,30,2160,72,2104,70.1,1.9,63.3,417,672,62.1,1755,45.7,0,0,0,415,13.833,520,17.333,1131,37.7,1064,35.5,2.2,0,268,8.9,615,20.5
Hofstra,111,29,2050,70.7,2063,71.1,-0.4,48.3,385,597,64.5,1727,43.3,0,0,0,380,13.103,463,15.966,1131,39,972,33.5,5.5,0,220,7.6,584,20.1
Holy Cross,112,28,1767,63.1,1641,58.6,4.5,46.4,356,601,59.2,1531,41.2,0,0,0,399,14.25,391,13.964,969,34.6,924,33,1.6,0,300,10.7,542,19.4
Houston,113,27,1592,59,1745,64.6,-5.7,33.3,305,482,63.3,1453,39.2,0,0,0,269,9.963,378,14,943,34.9,1033,38.3,-3.3,0,163,6,540,20
Howard,115,28,1683,60.1,1829,65.3,-5.2,21.4,315,479,65.8,1533,39.9,0,0,0,285,10.179,450,16.071,949,33.9,1008,36,-2.1,0,183,6.5,598,21.4
Idaho,116,30,1906,63.5,1907,63.6,0,46.7,434,599,72.5,1623,40.5,0,0,0,305,10.167,384,12.8,986,32.9,992,33.1,-0.2,0,195,6.5,587,19.6
Idaho St.,117,31,2277,73.5,2432,78.5,-5,41.9,394,606,65,1821,46.3,0,0,0,494,15.935,409,13.194,929,30,1251,40.4,-10.4,0,253,8.2,571,18.4
Ill.-Chicago,118,31,2170,70,1938,62.5,7.5,77.4,435,686,63.4,1733,45.6,0,0,0,458,14.774,390,12.581,1100,35.5,992,32,3.5,0,238,7.7,547,17.6
Illinois,119,30,2176,72.5,1884,62.8,9.7,80,371,533,69.6,1720,46.5,0,0,0,503,16.767,377,12.567,1050,35,974,32.5,2.5,0,205,6.8,572,19.1
Illinois St.,120,29,1825,62.9,1895,65.3,-2.4,34.5,352,513,68.6,1466,44.5,0,0,0,358,12.345,424,14.621,886,30.6,931,32.1,-1.6,0,203,7,567,19.6
Indiana,122,29,1881,64.9,1961,67.6,-2.8,48.3,385,532,72.4,1628,39.7,0,0,0,346,11.931,360,12.414,1021,35.2,1055,36.4,-1.2,0,147,5.1,537,18.5
Indiana St.,123,28,1623,58,1729,61.8,-3.8,32.1,289,448,64.5,1412,40.9,0,0,0,303,10.821,378,13.5,841,30,956,34.1,-4.1,0,193,6.9,455,16.3
Iona,124,29,2078,71.7,2171,74.9,-3.2,37.9,422,645,65.4,1690,44.4,0,0,0,434,14.966,457,15.759,1109,38.2,1089,37.6,0.7,0,223,7.7,586,20.2
Iowa,125,28,2002,71.5,1928,68.9,2.6,57.1,474,711,66.7,1491,45.8,0,0,0,425,15.179,454,16.214,1060,37.9,971,34.7,3.2,0,206,7.4,524,18.7
Iowa St.,126,29,2159,74.4,2112,72.8,1.6,58.6,384,592,64.9,1770,46.2,0,0,0,417,14.379,423,14.586,1087,37.5,1054,36.3,1.1,0,239,8.2,495,17.1
IUPUI,127,32,2504,78.3,2313,72.3,6,65.6,572,812,70.4,1855,45.6,0,0,0,436,13.625,412,12.875,1196,37.4,1094,34.2,3.2,0,202,6.3,586,18.3
Jackson St.,128,27,1708,63.3,1781,66,-2.7,41.4,418,622,67.2,1453,39.3,0,0,0,316,11.704,467,17.296,929,34.4,1026,38,-3.6,0,265,9.8,605,22.4
Jacksonville,129,28,1988,71,2069,73.9,-2.9,46.4,418,619,67.5,1560,44.2,0,0,0,384,13.714,499,17.821,985,35.2,1033,36.9,-1.7,0,216,7.7,525,18.8
Jacksonville St.,130,28,2092,74.7,2076,74.1,0.6,50,391,596,65.6,1612,46.5,0,0,0,410,14.643,397,14.179,956,34.1,986,35.2,-1.1,0,232,8.3,593,21.2
