,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
39,Canisius,40,30,1926,64.2,1868,62.3,1.9,53.3,380,535,71,1686,40.2,609,31.5,33.1,420,14,361,12,1044,34.8,1038,34.6,0.2,676,200,6.7,552,18.4
40,Central Ark.,41,29,1894,65.3,2384,82.2,-16.9,6.9,406,599,67.8,1524,42.4,556,35.3,37.6,361,12.4,529,18.2,903,31.1,1066,36.8,-5.6,630,182,6.3,604,20.8
41,Central Conn. St.,42,,,,,,,16.1,340,479,71,1675,40.2,454,32.2,34.5,340,11,425,13.7,1046,33.7,1093,35.3,-1.5,714,153,4.9,429,13.8
42,Central Mich.,43,31,2425,78.2,2098,67.7,10.5,74.2,477,658,72.5,1743,46.8,841,37.6,33.9,437,14.1,316,10.2,1049,33.8,1039,33.5,0.3,732,217,7,545,17.6
43,Charleston So.,44,30,2221,74,2065,68.8,5.2,63.3,424,616,68.8,1796,42.3,814,34,36.5,386,12.9,342,11.4,1135,37.8,1021,34,3.8,742,211,7,524,17.5
44,Charlotte,45,32,2362,73.8,2317,72.4,1.4,43.8,445,685,65,1854,46.3,534,37.6,36.5,437,13.7,435,13.6,1166,36.4,1105,34.5,1.9,785,207,6.5,558,17.4
45,Chattanooga,46,32,2325,72.7,2141,66.9,5.8,68.8,522,762,68.5,1753,45.2,620,35,34.3,384,12,418,13.1,1118,34.9,1076,33.6,1.3,747,210,6.6,620,19.4
46,Chicago St.,47,32,1855,58,2115,66.1,-8.1,25,343,514,66.7,1747,37.7,644,30.1,37.6,295,9.2,471,14.7,1059,33.1,1098,34.3,-1.2,656,268,8.4,680,21.3
47,Cincinnati,48,,,,,,,68.8,403,598,67.4,1581,45.3,483,33.3,32.9,380,11.9,409,12.8,1095,34.2,936,29.3,5,744,210,6.6,469,14.7
48,Clemson,49,31,1944,62.7,1927,62.2,0.5,51.6,395,579,68.2,1685,40.9,572,29.9,32.8,330,10.6,365,11.8,1122,36.2,1057,34.1,2.1,753,168,5.4,502,16.2
49,Cleveland St.,50,32,2131,66.6,1961,61.3,5.3,56.3,375,545,68.8,1707,44.9,597,37.5,35.5,417,13,380,11.9,1036,32.4,1004,31.4,1,699,247,7.7,616,19.3
50,Coastal Caro.,51,33,2366,71.7,2035,61.7,10,72.7,529,769,68.8,1841,43.9,621,35.6,32.2,376,11.4,393,11.9,1311,39.7,1027,31.1,8.6,871,232,7,545,16.5
51,Col. of Charleston,52,33,1934,58.6,2131,64.6,-6,27.3,365,553,66,1708,40.2,575,34.3,35.8,317,9.6,397,12,1064,32.2,1180,35.8,-3.5,750,182,5.5,679,20.6
52,Colgate,53,33,2177,66,2125,64.4,1.6,48.5,316,453,69.8,1661,48.4,649,39,38,446,13.5,379,11.5,994,30.1,1020,30.9,-0.8,765,170,5.2,557,16.9
53,Colorado,54,32,2193,68.5,2167,67.7,0.8,46.9,514,718,71.6,1733,43.6,497,34,34.9,367,11.5,424,13.3,1182,36.9,1053,32.9,4,818,184,5.8,583,18.2
