,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
20,Baylor,21,32,2381,74.4,2112,66,8.4,56.3,452,661,20.7,68.4,1895,59.2,45,646,20.2,34.5,31.5,480,15,391,12.2,1205,37.7,1124,35.1,2.5,#N/A,211,6.6,541,16.9
21,Belmont,22,32,2469,77.2,2048,64,13.2,81.3,426,581,18.2,73.3,1793,56.0,49.4,702,21.9,38.6,33,509,15.9,432,13.5,1031,32.2,1056,33,-0.8,#N/A,315,9.8,586,18.3
22,Bethune-Cookman,23,34,2283,67.1,2318,68.2,-1,41.2,463,742,21.8,62.4,1957,57.6,41.6,620,18.2,30.6,34.5,439,12.9,420,12.4,1176,34.6,1226,36.1,-1.5,#N/A,246,7.2,698,20.5
23,Binghamton,24,30,1676,55.9,2081,69.4,-13.5,10,344,533,17.8,64.5,1580,52.7,37.2,546,18.2,28.6,35.7,247,8.2,461,15.4,1056,35.2,1132,37.7,-2.5,#N/A,173,5.8,507,16.9
24,Boise St.,25,31,2272,73.3,2015,65,8.3,67.7,434,579,18.7,75,1737,56.0,45.9,619,20.0,39.1,33.2,409,13.2,375,12.1,1052,33.9,922,29.7,4.2,#N/A,209,6.7,586,18.9
25,Boston College,26,33,2215,67.1,2246,68.1,-0.9,48.5,481,676,20.5,71.2,1701,51.5,44.1,662,20.1,35.3,37.5,404,12.2,376,11.4,1036,31.4,1072,32.5,-1.1,#N/A,184,5.6,519,15.7
26,Boston U.,27,29,1972,68,1865,64.3,3.7,58.6,309,425,14.7,72.7,1590,54.8,44.9,629,21.7,37.4,30.4,394,13.6,359,12.4,933,32.2,1016,35,-2.9,#N/A,214,7.4,488,16.8
27,Bowling Green,28,32,2010,62.8,2033,63.5,-0.7,40.6,346,484,15.1,71.5,1795,56.1,41.9,nan,0.0,nan,34.1,385,12,410,12.8,1095,34.2,1107,34.6,-0.4,#N/A,236,7.4,515,16.1
28,Bradley,29,32,2142,66.9,2165,67.7,-0.7,50,386,537,16.8,71.9,1825,57.0,43.6,522,16.3,31.8,34.7,393,12.3,388,12.1,1041,32.5,1118,34.9,-2.4,#N/A,299,9.3,563,17.6
29,Brown,30,28,1748,62.4,1800,64.3,-1.9,46.4,323,512,18.3,63.1,1490,53.2,40.9,594,21.2,34.5,37.5,349,12.5,396,14.1,1002,35.8,930,33.2,2.6,#N/A,185,6.6,471,16.8
30,Bryant,31,30,2223,74.1,2136,71.2,2.9,63.3,440,610,20.3,72.1,1641,54.7,48,591,19.7,35.4,35,455,15.2,386,12.9,1026,34.2,977,32.6,1.6,#N/A,153,5.1,495,16.5
31,Bucknell,32,33,2221,67.3,1898,57.5,9.8,84.8,479,644,19.5,74.4,1745,52.9,45.6,0,0.0,0,31.1,442,13.4,312,9.5,1193,36.2,1001,30.3,5.8,#N/A,118,3.6,478,14.5
32,Buffalo,33,34,2275,66.9,2287,67.3,-0.4,41.2,472,671,19.7,70.3,1767,52.0,44.9,620,18.2,34.7,33.4,510,15,525,15.4,1207,35.5,1081,31.8,3.7,#N/A,188,5.5,632,18.6
33,Butler,34,34,2355,69.3,2169,63.8,5.5,76.5,480,697,20.5,68.9,1820,53.5,45.3,647,19.0,34.8,33.3,444,13.1,454,13.4,1246,36.6,985,29,7.7,#N/A,193,5.7,612,18
34,BYU,35,32,2448,76.5,2214,69.2,7.3,65.6,498,691,21.6,72.1,1934,60.4,45.8,537,16.8,33.5,33,500,15.6,391,12.2,1226,38.3,1120,35,3.3,#N/A,272,8.5,603,18.8
35,Cal Poly,36,31,2031,65.5,1935,62.4,3.1,58.1,403,552,17.8,73,1640,52.9,42.8,592,19.1,37.8,35.5,431,13.9,295,9.5,979,31.6,941,30.4,1.2,#N/A,181,5.8,538,17.4
36,Cal St. Fullerton,37,32,2451,76.6,2381,74.4,2.2,43.8,475,627,19.6,75.8,1819,56.8,47,704,22.0,37.8,35.1,472,14.8,401,12.5,954,29.8,1156,36.1,-6.3,#N/A,248,7.8,595,18.6
37,California,38,31,2094,67.5,1996,64.4,3.2,64.5,399,550,17.7,72.5,1760,56.8,44.6,0,0.0,0,33.6,436,14.1,389,12.5,1153,37.2,1054,34,3.2,#N/A,179,5.8,506,16.3
38,Campbell,39,33,2284,69.2,2395,72.6,-3.4,39.4,439,619,18.8,70.9,1921,58.2,44.5,nan,0.0,nan,33.2,461,14,456,13.8,1120,33.9,1186,35.9,-2,#N/A,250,7.6,619,18.8
39,Canisius,40,31,2263,73,2166,69.9,3.1,58.1,433,604,19.5,71.7,1731,55.8,44.6,737,23.8,38.8,33.3,397,12.8,418,13.5,1060,34.2,1015,32.7,1.5,#N/A,179,5.8,528,17
40,Central Ark.,41,30,2294,76.5,2359,78.6,-2.2,43.3,368,582,19.4,63.2,1967,65.6,43.5,608,20.3,35.2,36.3,423,14.1,432,14.4,1160,38.7,1235,41.2,-2.5,#N/A,236,7.9,627,20.9
41,Central Conn. St.,42,30,2186,72.9,2312,77.1,-4.2,43.3,404,552,18.4,73.2,1832,61.1,42.8,602,20.1,35.2,36.6,378,12.6,378,12.6,1037,34.6,1222,40.7,-6.2,#N/A,225,7.5,485,16.2
