,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
222,Penn St.,223,40.7,1799,32,50,432,621,69.6,665,31.7,36.6,322,10.1,361,11.3,1111,34.7,1152,36,-1.3,24.31,166,5.2,647,20.2,2107,65.8,2228,69.6,-3.8
223,Pepperdine,224,45.3,1796,31,58.1,497,735,67.6,446,34.5,31.1,442,14.3,349,11.3,1143,36.9,1105,35.6,1.2,25.94,179,5.8,578,18.6,2277,73.5,2208,71.2,2.2
224,Pittsburgh,225,46,1871,32,65.6,512,679,75.4,578,34.8,35.6,541,16.9,374,11.7,1222,38.2,985,30.8,7.4,25.38,159,5,564,17.6,2433,76,2173,67.9,8.1
225,Portland,226,43.1,2012,32,37.5,458,633,72.4,787,36.7,38.1,425,13.3,389,12.2,1130,35.3,1230,38.4,-3.1,23.78,208,6.5,697,21.8,2483,77.6,2552,79.8,-2.2
226,Portland St.,227,47.7,1904,31,41.9,425,645,65.9,519,32.2,37.8,nan,nan,390,12.6,1096,35.4,1130,36.5,-1.1,24.74,263,8.5,590,19,2408,77.7,2409,77.7,0
227,Prairie View,228,38,1727,31,22.6,432,630,68.6,467,27.2,30.6,269,8.7,465,15,997,32.2,1167,37.6,-5.5,20.71,239,7.7,691,22.3,1873,60.4,2202,71,-10.6
228,Presbyterian,229,43.3,1743,31,35.5,437,615,71.1,502,29.5,33.5,nan,nan,441,14.2,1047,33.8,1116,36,-2.2,24.16,206,6.6,595,19.2,2093,67.5,2259,72.9,-5.4
229,Princeton,230,46.6,1655,28,78.6,398,564,70.6,698,38.8,35.3,419,15,320,11.4,1033,36.9,940,33.6,3.3,26.93,199,7.1,478,17.1,2213,79,1903,68,11.1
230,Providence,231,42.2,1974,33,69.7,541,744,72.7,729,32.1,32.1,525,15.9,380,11.5,1207,36.6,1215,36.8,-0.2,24.91,219,6.6,558,16.9,2441,74,2301,69.7,4.2
231,Purdue,232,47.2,1980,34,76.5,516,695,74.2,703,36.8,31.3,598,17.6,406,11.9,1392,40.9,1030,30.3,10.6,29.26,145,4.3,584,17.2,2643,77.7,2196,64.6,13.1
232,Quinnipiac,233,36.8,1898,30,30,344,532,64.7,672,34.1,31,377,12.6,459,15.3,1302,43.4,1130,37.7,5.7,26.8,146,4.9,613,20.4,1969,65.6,2131,71,-5.4
233,Radford,234,44.8,1885,31,51.6,352,541,65.1,658,34.3,32.9,410,13.2,416,13.4,1176,37.9,1080,34.8,3.1,24.77,183,5.9,580,18.7,2266,73.1,2248,72.5,0.6
234,Rhode Island,235,44.4,1762,32,53.1,443,662,66.9,584,36.5,33.3,391,12.2,369,11.5,1118,34.9,1039,32.5,2.5,24.47,170,5.3,608,19,2220,69.4,2072,64.8,4.6
235,Rice,236,45.2,1798,32,37.5,573,773,74.1,716,31.8,41.3,nan,nan,419,13.1,1052,32.9,1144,35.8,-2.9,23.69,204,6.4,562,17.6,2427,75.8,2576,80.5,-4.7
236,Richmond,237,48.2,1848,32,50,430,651,66.1,674,35.6,36,nan,nan,327,10.2,1021,31.9,1188,37.1,-5.2,24.06,210,6.6,610,19.1,2450,76.6,2363,73.8,2.7
237,Rider,238,42.7,1802,33,39.4,435,638,68.2,646,31.6,34,416,12.6,422,12.8,1170,35.5,1173,35.5,-0.1,25.45,189,5.7,587,17.8,2177,66,2223,67.4,-1.4
